NomeTimeCasa;PlacarTimeCasa;NomeTimeVisitante;PlacarTimeVisitante;Rodada;DataHoraJogo
Cruzeiro - MG;1;Fluminense - RJ;1;17;15/08/2012 19:30
Atlético - GO;1;Atlético - MG;1;17;15/08/2012 20:30
Ponte Preta - SP;0;Bahia - BA;2;17;15/08/2012 20:30
Náutico - PE;3;São Paulo - SP;0;17;15/08/2012 21:50
Botafogo - RJ;2;Sport - PE;0;17;15/08/2012 21:50
Palmeiras - SP;1;Flamengo - RJ;0;17;15/08/2012 21:50
Vasco da Gama - RJ;2;Coritiba - PR;2;17;16/08/2012 21:00
Corinthians - SP;1;Internacional - RS;0;17;16/08/2012 21:00
Figueirense - SC;1;Santos - SP;3;17;16/08/2012 21:00
Náutico - PE;1;Bahia - BA;0;18;18/08/2012 18:30
Fluminense - RJ;1;Sport - PE;0;18;18/08/2012 18:30
São Paulo - SP;3;Ponte Preta - SP;0;18;18/08/2012 21:00
Santos - SP;3;Corinthians - SP;2;18;19/08/2012 16:00
Atlético - MG;3;Botafogo - RJ;2;18;19/08/2012 16:00
Coritiba - PR;4;Cruzeiro - MG;0;18;19/08/2012 16:00
Grêmio - RS;4;Figueirense - SC;0;18;19/08/2012 16:00
Atlético - GO;2;Palmeiras - SP;1;18;19/08/2012 18:30
Portuguesa - SP;1;Internacional - RS;1;18;19/08/2012 18:30
Flamengo - RJ;1;Vasco da Gama - RJ;0;18;19/08/2012 18:30
Vasco da Gama - RJ;1;Fluminense - RJ;2;19;25/08/2012 18:30
Palmeiras - SP;1;Santos - SP;2;19;25/08/2012 18:30
Ponte Preta - SP;2;Portuguesa - SP;1;19;25/08/2012 21:00
Internacional - RS;0;Grêmio - RS;1;19;26/08/2012 16:00
Botafogo - RJ;0;Flamengo - RJ;0;19;26/08/2012 16:00
Corinthians - SP;1;São Paulo - SP;2;19;26/08/2012 16:00
Figueirense - SC;3;Coritiba - PR;1;19;26/08/2012 16:00
Cruzeiro - MG;2;Atlético - MG;2;19;26/08/2012 18:30
Sport - PE;0;Náutico - PE;0;19;26/08/2012 18:30
Bahia - BA;1;Atlético - GO;1;19;26/08/2012 18:30
Coritiba - PR;1;Internacional - RS;0;20;29/08/2012 19:30
Santos - SP;1;Bahia - BA;3;20;29/08/2012 19:30
Náutico - PE;3;Figueirense - SC;2;20;29/08/2012 20:30
Atlético - MG;2;Ponte Preta - SP;2;20;29/08/2012 20:30
Portuguesa - SP;3;Palmeiras - SP;0;20;29/08/2012 20:30
Fluminense - RJ;1;Corinthians - SP;1;20;29/08/2012 22:00
Grêmio - RS;2;Vasco da Gama - RJ;0;20;29/08/2012 22:00
Atlético - GO;0;Cruzeiro - MG;2;20;29/08/2012 22:00
Flamengo - RJ;1;Sport - PE;1;20;30/08/2012 21:00
São Paulo - SP;4;Botafogo - RJ;0;20;30/08/2012 21:00
Palmeiras - SP;0;Grêmio - RS;0;21;01/09/2012 18:30
Figueirense - SC;2;Fluminense - RJ;2;21;01/09/2012 18:30
Vasco da Gama - RJ;2;Portuguesa - SP;0;21;01/09/2012 21:00
Bahia - BA;1;São Paulo - SP;0;21;02/09/2012 16:00
Sport - PE;2;Santos - SP;1;21;02/09/2012 16:00
Internacional - RS;4;Flamengo - RJ;1;21;02/09/2012 16:00
Corinthians - SP;1;Atlético - MG;0;21;02/09/2012 16:00
Botafogo - RJ;2;Coritiba - PR;0;21;02/09/2012 18:30
Cruzeiro - MG;3;Náutico - PE;0;21;02/09/2012 18:30
Ponte Preta - SP;3;Atlético - GO;1;21;02/09/2012 18:30
Flamengo - RJ;0;Ponte Preta - SP;1;22;05/09/2012 19:30
Portuguesa - SP;3;Coritiba - PR;0;22;05/09/2012 19:30
Náutico - PE;1;Vasco da Gama - RJ;1;22;05/09/2012 19:30
Bahia - BA;0;Atlético - MG;0;22;05/09/2012 19:30
Grêmio - RS;2;Atlético - GO;1;22;05/09/2012 20:30
Figueirense - SC;1;Corinthians - SP;0;22;05/09/2012 22:00
Cruzeiro - MG;1;Botafogo - RJ;3;22;05/09/2012 22:00
São Paulo - SP;1;Internacional - RS;1;22;05/09/2012 22:00
Fluminense - RJ;3;Santos - SP;1;22;06/09/2012 21:00
Palmeiras - SP;3;Sport - PE;1;22;06/09/2012 21:00
Ponte Preta - SP;2;Figueirense - SC;2;23;08/09/2012 18:30
Coritiba - PR;3;Flamengo - RJ;0;23;08/09/2012 18:30
Corinthians - SP;3;Grêmio - RS;1;23;08/09/2012 21:00
Botafogo - RJ;3;Náutico - PE;1;23;09/09/2012 16:00
Santos - SP;0;São Paulo - SP;0;23;09/09/2012 16:00
Internacional - RS;0;Fluminense - RJ;1;23;09/09/2012 16:00
Atlético - GO;1;Portuguesa - SP;1;23;09/09/2012 18:30
Atlético - MG;3;Palmeiras - SP;0;23;09/09/2012 18:30
